@RELATION goodreads_nlp
	@ATTRIBUTE text  string
	@ATTRIBUTE class        {art,fiction,history,music,religion,romance,science,travel}
@DATA
"Claude & Camille: A Novel of Monet (Hardcover)",art
"Design as Art (Paperback)",art
"This Is Not a Pipe (Paperback)",art
"Caravaggio, 1571-1610 (Paperback)",art
"Celtic Art: The Methods of Construction (Paperback)",art
"Drawing on the Artist Within (Paperback)",art
"The Art of Asking; or, How I Learned to Stop Worrying and Let People Help (Hardcover)",art
"Perspective Made Easy (Paperback)",art
"After Modern Art, 1945-2000 (Paperback)",art
"The Artist's Handbook of Materials and Techniques (Hardcover)",art
"Women Who Read Are Dangerous (Hardcover)",art
"The Vanishing Velázquez: A 19th-Century Bookseller's Obsession with a Lost Masterpiece (Hardcover)",art
"Keys to Drawing with Imagination: Strategies and Exercises for Gaining Confidence and Enhancing Your Creativity (Hardcover)",art
"The Design of Everyday Things (Paperback)",art
"Civilisation (Paperback)",art
"Figure Drawing: Design and Invention (Hardcover)",art
"Tolkien's World: Paintings of Middle-Earth (Hardcover)",art
"Vitamin P: New Perspectives in Painting (Paperback)",art
"Sexual Personae: Art and Decadence from Nefertiti to Emily Dickinson (Paperback)",art
"The Book of Mistakes (Hardcover)",art
"Blue: The History of a Color (Hardcover)",art
"The Guerrilla Girls' Bedside Companion to the History of Western Art (Paperback)",art
"Art and Physics: Parallel Visions in Space, Time, and Light (Paperback)",art
"Art, Inc.: The Essential Guide for Building Your Career as an Artist (Paperback)",art
"Provenance: How a Con Man and a Forger Rewrote the History of Modern Art (Hardcover)",art
"The Complete Illuminated Books (Paperback)",art
"Emily's Blue Period (Hardcover)",art
"The Bird King and Other Sketches (Hardcover)",art
"Vincent Van Gogh, 1853-1890: Vision and Reality (Paperback)",art
"Illuminations: Essays and Reflections (Paperback)",art
"Alphonse Mucha (Hardcover)",art
"M: The Man Who Became Caravaggio (Paperback)",art
"30,000 Years of Art: The Story of Human Creativity across Time and Space (Hardcover)",art
"The Melancholy Death of Oyster Boy and Other Stories (Hardcover)",art
"Why Art Cannot be Taught: A Handbook for Art Students (Paperback)",art
"The World of The Dark Crystal (Hardcover)",art
"Fun with a Pencil (Paperback)",art
"After the End of Art: Contemporary Art and the Pale of History (Paperback)",art
"The Andy Warhol Diaries (Paperback)",art
"1001 Paintings You Must See Before You Die (Hardcover)",art
"Mad Enchantment: Claude Monet and the Painting of the Water Lilies (Hardcover)",art
"The Muralist (Hardcover)",art
"Glittering Images: A Journey Through Art from Egypt to Star Wars (Hardcover)",art
"Bright Earth: Art and the Invention of Color (Paperback)",art
"John Howe Fantasy Art Workshop (Paperback)",art
"Walking on Water: Reflections on Faith and Art (Hardcover)",art
"The Americans (Hardcover)",art
"The Legend of Zelda: Hyrule Historia (Hardcover)",art
"Seeing Is Forgetting the Name of the Thing One Sees: A Life of Contemporary Artist Robert Irwin (Paperback)",art
"The Painted Kiss (Paperback)",art
"Life with Picasso (Paperback)",art
"Artists' Journals and Sketchbooks: Exploring and Creating Personal Pages (Paperback)",art
"Egon Schiele: Drawings and Watercolors (Hardcover)",art
"Point and Line to Plane (Paperback)",art
"Museum of the Missing: A History of Art Theft (Hardcover)",art
"The Sculptor (Hardcover)",art
"The Blazing World (Hardcover)",art
"Alexander McQueen: Savage Beauty (Hardcover)",art
"Color: A Course in Mastering the Art of Mixing Colors (Paperback)",art
"The Secret Life of Salvador Dalí (Paperback)",art
"Paintings in Proust: A Visual Companion to In Search of Lost Time (Hardcover)",art
"Bohemian Paris: Picasso, Modigliani, Matisse and the Birth of Modern Art (Paperback)",art
"The Art of Rivalry: Four Friendships, Betrayals, and Breakthroughs in Modern Art (ebook)",art
"The Marriage of Opposites (Hardcover)",art
"Inferno (Robert Langdon, #4)",art
"Street Photographer (Hardcover)",art
"The Art of How to Train Your Dragon (Hardcover)",art
"The Renaissance: Studies in Art and Poetry (Paperback)",art
"J.R.R. Tolkien: Artist and Illustrator (Paperback)",art
"Mouse Paint (Board Book)",art
"Theories of Modern Art: A Source Book by Artists and Critics (Paperback)",art
"Cabinet of Natural Curiosities: The Complete Plates in Colour, 1734-1763 (Hardcover)",art
"On Painting (Paperback)",art
"The Brilliant History of Color in Art (Hardcover)",art
"In Montmartre: Picasso, Matisse and the Birth of Modernist Art (Hardcover)",art
"The Architecture of Happiness (Hardcover)",art
"My Name Is Asher Lev (Paperback)",art
"Art and Beauty in the Middle Ages (Paperback)",art
"Matisse (Paperback)",art
"The Nude: A Study in Ideal Form (Paperback)",art
"The Secret Lives of Men and Women: A PostSecret Book (Hardcover)",art
"Humans of New York: Stories (Hardcover)",art
"One Zentangle A Day: A 6-Week Course in Creative Drawing for Relaxation, Inspiration, and Fun (Paperback)",art
"The Artist Who Painted a Blue Horse (Hardcover)",art
"Art Since 1900: Modernism, Antimodernism, Postmodernism (Hardcover)",art
"Cloth Lullaby: The Woven Life of Louise Bourgeois (Hardcover)",art
"Angels & Demons (Robert Langdon, #1)",art
"Drawing Realistic Textures in Pencil (Paperback)",art
"Under the Egg (Hardcover)",art
"The Art Detective: Fakes, Frauds and Finds and the Search for Lost Treasures (Hardcover)",art
"A Life of Picasso, Vol. 1: The Early Years, 1881-1906 (Paperback)",art
"A Short Guide to Writing About Art (The Short Guide Series)",art
"Thinking with Type (Paperback)",art
"The Art of the Pre-Raphaelites (Hardcover)",art
"J.W. Waterhouse (Paperback)",art
"Francis Bacon: 1909-1992",art
"How to Draw: drawing and sketching objects and environments from your imagination (Paperback)",art
"Graffiti Moon (Paperback)",art
"Darkwerks: The Art of Brom (Paperback)",art
"The World of Edward Gorey (Paperback)",art
"The Accidental Masterpiece: On the Art of Life and Vice Versa (Paperback)",art
"Dada: Art and Anti-Art (Paperback)",art
"Hieronymus Bosch: Complete Works (XXL)",art
"An Illustrated Journey: Inspiration From the Private Art Journals of Traveling Artists, Illustrators and Designers (Paperback)",art
"And the Pursuit of Happiness (Hardcover)",art
"Untitled Film Stills (Hardcover)",art
"Dinotopia: A Land Apart from Time (Paperback)",art
"Art & the Bible (Paperback)",art
"Frida Kahlo: The Paintings (Paperback)",art
"Letters to a Young Poet (Paperback)",art
"Nan Goldin: The Ballad of Sexual Dependency (Paperback)",art
"Classical Drawing Atelier: A Contemporary Guide to Traditional Studio Practice (Hardcover)",art
"Artemisia (Paperback)",art
"Essential Pre-Raphaelites (Hardcover)",art
"Spilling Open: The Art of Becoming Yourself (Paperback)",art
"The Gryphon: In Which the Extraordinary Correspondence of Griffin & Sabine Is Rediscovered (Morning Star Trilogy, #1)",art
"Wassily Kandinsky: 1866-1944 a Revolution in Painting (Paperback)",art
"Hold Still: A Memoir with Photographs (Hardcover)",art
"Draw! (Hardcover)",art
"The Scraps Book (Hardcover)",art
"Urban Watercolor Sketching: A Guide to Drawing, Painting, and Storytelling in Color (Paperback)",art
"Pictures of Nothing: Abstract Art Since Pollock (Hardcover)",art
"History of Italian Renaissance Art: Painting, Sculpture, Architecture (Hardcover)",art
"The Originality of the Avant-Garde and Other Modernist Myths (Paperback)",art
"My Pen (Hardcover)",art
"The Art of Brave (Hardcover)",art
"Drawn to Life: 20 Golden Years of Disney Master Classes: Volume 1: The Walt Stanchfield Lectures (Paperback)",art
"Successful Drawing (Hardcover)",art
"Alphonse Mucha: The Spirit of Art Nouveau (Hardcover)",art
"Jackson Pollock: An American Saga (Paperback)",art
"Alchemy & Mysticism (Hardcover)",art
"Sculpting in Time (Paperback)",art
"Broad Strokes: 15 Women Who Made Art and Made History (in That Order)",art
"Georgia: A Novel of Georgia O'Keeffe (Hardcover)",art
"Dynamic Anatomy (Paperback)",art
"www HR Giger com (Hardcover)",art
"Manifestoes of Surrealism (Paperback)",art
"Andy Warhol, 1928-1987: Commerce Into Art (Paperback)",art
"Sacred Mirrors: The Visionary Art of Alex Grey (Paperback)",art
"The Decorated Page: Journals, Scrapbooks  Albums Made Simply Beautiful (Paperback)",art
"Louise Loves Art (Hardcover)",art
"Henri's Scissors (ebook)",art
"You Can Draw in 30 Days: The Fun, Easy Way to Learn to Draw in One Month or Less (Paperback)",art
"Art (Hardcover)",art
"Marc Chagall, 1887-1985: Painting as Poetry (Paperback)",art
"The Art of Walt Disney: From Mickey Mouse to the Magic Kingdoms (Hardcover)",art
"Still Life with Oysters and Lemon: On Objects and Intimacy (Paperback)",art
"Time (Hardcover)",art
"Utopia Parkway: The Life and Work of Joseph Cornell (Paperback)",art
"What Great Paintings Say (Hardcover)",art
"The Art of Star Wars: The Force Awakens (Hardcover)",art
"Vincent (Paperback)",art
"De Kooning: An American Master (Paperback)",art
"Force: Dynamic Life Drawing for Animators (Paperback)",art
"The Painter of Modern Life and Other Essays (Phaidon Arts and Letters)",art
"The Arthur Rackham Treasury: 86 Full-Color Illustrations (Paperback)",art
"I Was Vermeer: The Rise and Fall of the Twentieth Century's Greatest Forger (Hardcover)",art
"Theory of Colours (Paperback)",art
"Vermeer, 1632-1675: Veiled Emotions (Paperback)",art
"The Madonnas of Leningrad (Paperback)",art
"Visual Thinking (Paperback)",art
"Interviews with Francis Bacon (Paperback)",art
"Reinventing Comics: How Imagination and Technology Are Revolutionizing an Art Form (Paperback)",art
"Alfons Mucha, 1860-1939: Master of Art Nouveau (Paperback)",art
"What I Loved (Paperback)",art
"Why Art? (Paperback)",art
"The Muse (Hardcover)",art
"Daily Painting: Paint Small and Often To Become a More Creative, Productive, and Successful Artist (Paperback)",art
"Lessons in Classical Drawing: Essential Techniques from Inside the Atelier (Hardcover)",art
"The Elements of Typographic Style (Paperback)",art
"Artist to Artist: 23 Major Illustrators Talk to Children about Their Art (Hardcover)",art
"Sister Wendy's 1000 Masterpieces",art
"Charley Harper: An Illustrated Life (Hardcover)",art
"Barlowe's Guide to Extraterrestrials: Great Aliens from Science Fiction Literature (Paperback)",art
"Alice's Adventures in Wonderland (Alice's Adventures in Wonderland, #1)",art
"Chasing Aphrodite: The Hunt for Looted Antiquities at the World's Richest Museum (Hardcover)",art
"The Anti-Aesthetic: Essays on Postmodern Culture (Paperback)",art
"Learning to Love You More (Paperback)",art
"The Lord of the Rings: The Art of The Fellowship of the Ring (Hardcover)",art
"Funny Bones: Posada and His Day of the Dead Calaveras (Hardcover)",art
"Stealing Rembrandts: The Untold Stories of Notorious Art Heists (Hardcover)",art
"The Autobiography Of Benvenuto Cellini (Paperback)",art
"Gustav Klimt, 1862–1918: The World in Female Form (Hardcover)",art
"Keeping a Nature Journal: Discover a Whole New Way of Seeing the World Around You (Paperback)",art
"Transfigurations (Paperback)",art
"Old in Art School: A Memoir of Starting Over (Hardcover)",art
"The Lacuna (Hardcover)",art
"The Polaroid Book: Selections from the Polaroid Collections of Photography (Hardcover)",art
"Amano: The Complete Prints (Paperback)",art
"Drawing Words and Writing Pictures (Paperback)",art
"Alexandria: In Which the Extraordinary Correspondence of Griffin & Sabine Unfolds (Morning Star Trilogy, #2)",art
"The Hobbit: An Unexpected Journey - Chronicles I: Art & Design (Hardcover)",art
"The Art of Tim Burton (Hardcover)",art
"The Journal Junkies Workshop: Visual Ammunition for the Art Addict (Paperback)",art
"PostSecret: Confessions on Life, Death, and God (Hardcover)",art
"The Art of Color: The Subjective Experience and Objective Rationale of Color (Hardcover)",art
"Diane Arbus: Revelations (Hardcover)",art
"Loot: The Battle over the Stolen Treasures of the Ancient World (Hardcover)",art
"Relational Aesthetics (Paperback)",art
"Portraits: John Berger on Artists (Hardcover)",art
"Lisette's List (Kindle Edition)",art
"The Art of the Disney Princess (Hardcover)",art
"On Writing: A Memoir of the Craft (Mass Market Paperback)",art
"The Art Lesson (Paperback)",art
"The Artist's Reality: Philosophies of Art (Paperback)",art
"Daybook: The Journal of an Artist (Paperback)",art
"Seen Art? (Hardcover)",art
"The Pre-Raphaelites (Paperback)",art
"Subway Art (Paperback)",art
"Catching the Big Fish: Meditation, Consciousness, and Creativity (Hardcover)",art
"Graffiti Women: Street Art from Five Continents (Hardcover)",art
"Here (Hardcover)",art
"A World History Of Art (Paperback)",art
"Water Paper Paint: Exploring Creativity with Watercolor and Mixed Media (Paperback)",art
"Heist Society (Heist Society, #1)",art
"Immediate Family (Paperback)",art
"Meaning in the Visual Arts (Paperback)",art
"Breakfast at Sotheby's: An A-Z of the Art World (Hardcover)",art
"What Art Is (Hardcover)",art
"Pablo Picasso, 1881-1973: Genius of the Century (Paperback)",art
"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration (Hardcover)",art
"The Girl You Left Behind (Paperback)",art
"The Value of Art: Money, Power, Beauty (Hardcover)",art
"Impressionism (Hardcover)",art
"The Greater Journey: Americans in Paris (Hardcover)",art
"Myth and Magic: The Art of John Howe (Hardcover)",art
"Dictionary Of Subjects And Symbols In Art: Revised Edition (Paperback)",art
"Annie Leibovitz at Work (Hardcover)",art
"Joan Miro: 1893-1983 (Paperback)",art
"Rembrandt, 1606-1669: The Mystery of the Revealed Form (Paperback)",art
"Pop Surrealism: The Rise of Underground Art (Hardcover)",art
"Confessions of an Art Addict (Paperback)",art
"Imagine! (Hardcover)",art
"Frida Kahlo and Her Animalitos (Hardcover)",art
"The Medium is the Massage (Paperback)",art
"Widow Basquiat: A Love Story (Paperback)",art
"Ways of Curating (Hardcover)",art
"Artificial Hells: Participatory Art and the Politics of Spectatorship (Paperback)",art
"Drawing Down the Moon: The Art of Charles Vess (Hardcover)",art
"The Book of Tea (Hardcover Slipcased )",art
"Pictures & Tears: A History of People Who Have Cried in Front of Paintings (Paperback)",art
"Drawing with Children: A Creative Method for Adult Beginners, Too (Paperback)",art
"The Fantastic Jungles of Henri Rousseau (Hardcover)",art
"Studies in Iconology: Humanistic Themes in the Art of the Renaissance (Paperback)",art
"Ignore Everybody: and 39 Other Keys to Creativity (Hardcover)",art
"Masterpiece (Hardcover)",art
"Joseph Cornell: Master of Dreams (Hardcover)",art
"Art Theory: A Very Short Introduction (Paperback)",art
"Animalia (Hardcover)",art
"The Visual Display of Quantitative Information (Hardcover)",art
"FRUiTS (Softcover)",art
"Poetics (Paperback)",art
"Blood Water Paint (Hardcover)",art
"Silent Days, Silent Dreams (Hardcover)",art
"Framed Ink: Drawing and Composition for Visual Storytellers (Paperback)",art
"Rene Magritte, 1898-1967: Thought Rendered Visible (Paperback)",art
"The Art of Frozen (Hardcover)",art
"The Art of The Hobbit by J.R.R. Tolkien (Hardcover)",art
"Imagine: How Creativity Works (Hardcover)",art
"Oil Painting Techniques and Materials (Paperback)",art
"ART/WORK: Everything You Need to Know (and Do) As You Pursue Your Art Career",art
"Saddest Place on Earth (Paperback)",art
"Georgia O'Keeffe (Paperback)",art
"Art: A New History (Hardcover)",art
"How Art Made the World (Paperback)",art
